Ticker,Exchange,SP500Listed
TRV,NYSE,True
TSCO,NASDAQ,True
TSLA,NASDAQ,True
TSN,NYSE,True
TT,NYSE,True
TTEK,NASDAQ,False
TTWO,NASDAQ,True
TUP,NYSE,False
TX,NYSE,False
TXN,NASDAQ,True
TXT,NYSE,True
TYL,NYSE,True
UA,NYSE,False
UAA,NYSE,False
UAL,NASDAQ,True
UBER,NYSE,False
UCL,NASDAQ,False
UDR,NYSE,True
UFCS,NASDAQ,False
UHS,NYSE,True
UIS,NYSE,False
UK,NASDAQ,False
ULTA,NASDAQ,True
UNH,NYSE,True
UNM,NYSE,False
UNP,NYSE,True
UPC,NASDAQ,False
UPS,NYSE,True
URBN,NASDAQ,False
URI,NYSE,True
USB,NYSE,True
UTHR,NASDAQ,False
V,NYSE,True
VERU,NASDAQ,False
VFC,NYSE,True
VHI,NYSE,False
VIAV,NASDAQ,False
VICI,NYSE,True
VIVO,NASDAQ,False
VLO,NYSE,True
VMC,NYSE,True
VNO,NYSE,False
VRSK,NASDAQ,True
VRSN,NASDAQ,True
VRTS,NASDAQ,False
VRTX,NASDAQ,True
VTNR,NASDAQ,False
VTR,NYSE,True
VTRS,NASDAQ,True
VZ,NYSE,True
WAB,NYSE,True
WAL,NYSE,False
WAT,NYSE,True
WB,NASDAQ,False
WBA,NASDAQ,True
WBD,NASDAQ,True
WCC,NYSE,False
WDC,NASDAQ,True
WEC,NYSE,True
WELL,NYSE,True
WEN,NASDAQ,False
WFC,NYSE,True
WHR,NYSE,True
WM,NYSE,True
WMB,NYSE,True
WMT,NYSE,True
WOR,NYSE,False
WRB,NYSE,True
WRK,NYSE,True
WST,NYSE,True
WTFC,NASDAQ,False
WU,NYSE,False
WWE,NYSE,False
WY,NYSE,True
WYNN,NASDAQ,True
X,NYSE,False
XEL,NASDAQ,True
XOM,NYSE,True
XRAY,NASDAQ,True
XRX,NASDAQ,False
XYL,NYSE,True
YUM,NYSE,True
ZBH,NYSE,True
ZBRA,NASDAQ,True
ZION,NASDAQ,False
ZM,NASDAQ,False
ZTS,NYSE,True
