Date,Average,Average_Predicted,PercentageDeviation
2008-04-02,0.01321993084730834,0.011226281523704529,0.15080633526988002
2008-04-03,0.013434648069994781,0.011353342793881893,0.15492071435509486
2008-04-04,0.013447819869734885,0.011287704110145569,0.16062943886174325
2008-04-07,0.01311616070704816,0.011147864162921906,0.1500665162686335
2008-04-08,0.013297104084247155,0.01127767376601696,0.15186993389204032
2008-04-09,0.013387617990153514,0.011529490351676941,0.13879449203310187
2008-04-10,0.013250074004405886,0.011843059211969376,0.10618920256359722
2008-04-11,0.012999218767047876,0.012084824964404106,0.07034221202290214
2008-04-14,0.01302454915116346,0.012260382995009422,0.05867121750512003
2008-04-15,0.013133047629791885,0.012241536751389503,0.06788301569698255
2008-04-16,0.013966417267194631,0.012400910258293152,0.11209080889904811
2008-04-17,0.014865139295615584,0.012636823579668999,0.14990210798790282
2008-04-18,0.014819460169593813,0.01310025155544281,0.11601020512733862
2008-04-21,0.014646875819152957,0.013634465634822845,0.06912123765030054
2008-04-22,0.011008841617858929,0.014029130339622498,0.2743511830403619
2008-04-23,0.010486697966623004,0.014231519773602486,0.3571020943769409
2008-04-24,0.011181341533686062,0.014215324074029922,0.2713433384718079
2008-04-25,0.011879784658366458,0.014066396281123161,0.1840615537771352
2008-04-28,0.011669964643275698,0.013741588220000267,0.17751755382723036
2008-04-29,0.01133577244217741,0.013533249497413635,0.19385331405030629
2008-04-30,0.011093360666191264,0.013462712988257408,0.21358291624711284
2008-05-01,0.0107774063416562,0.01352294348180294,0.25474933885853884
2008-05-02,0.010685710351157783,0.013631656765937805,0.2756902740172845
2008-05-05,0.010721848365829352,0.013638526201248169,0.2720312520660431
2008-05-06,0.010575860918709863,0.013700099661946297,0.2954122380438373
2008-05-07,0.010422696529424295,0.013767248019576073,0.3208911897904521
2008-05-08,0.010293596005048528,0.013757562264800072,0.3365166320936464
2008-05-09,0.010352700234651561,0.013646330684423447,0.31814216340851464
2008-05-12,0.010611998933381432,0.013551212847232819,0.27697080750787717
2008-05-13,0.010440849971373796,0.013520054519176483,0.2949189535569515
2008-05-14,0.01046618035548938,0.013786625117063522,0.3172546859306329
2008-05-15,0.010198438195387648,0.014322591945528984,0.4043907185716465
2008-05-16,0.010631418894536712,0.01475181058049202,0.38756742884740436
2008-05-19,0.010854495143981298,0.015022268518805504,0.3839675009790936
2008-05-20,0.011399689444762405,0.013998396694660187,0.227962986403262
2008-05-21,0.011129498680862831,0.01289517804980278,0.15864859860903113
2008-05-22,0.010890717593266585,0.012181799858808517,0.1185488701258925
2008-05-23,0.010721848365829352,0.01186703983694315,0.10680914633744824
2008-05-27,0.010935299069310015,0.011640874668955803,0.06452275289168727
2008-05-28,0.010958265284241478,0.011473767459392548,0.047042315711446354
2008-05-29,0.0103587795268393,0.011391449719667435,0.0996903341897099
2008-05-30,0.010391286853120966,0.011314606294035912,0.0888551585540757
2008-06-02,0.010479436589843202,0.011247234418988228,0.07326709051221178
2008-06-03,0.010890802027880304,0.011163612827658653,0.025049651906256087
2008-06-04,0.011145287953628213,0.010983468033373356,0.014519133191366197
2008-06-05,0.011537233430510031,0.010807842016220093,0.06322065152648074
2008-06-06,0.011291106531520264,0.010672861710190773,0.05475502508134151
2008-06-09,0.010819454779288072,0.010620975866913795,0.01834463163099768
2008-06-10,0.010557876345987798,0.010681983083486557,0.011754895911991034
2008-06-11,0.010431224425409873,0.01068810373544693,0.024625997827379984
2008-06-12,0.010528915273482313,0.010704943910241127,0.016718591819439597
2008-06-13,0.011041517813368033,0.010631214827299118,0.037160016675620355
2008-06-16,0.011072843055057638,0.010714449919760227,0.032366857681931184
2008-06-17,0.010957083199649416,0.010861540213227272,0.00871974636691644
2008-06-18,0.010473357297655462,0.011160041205585003,0.06556483164030509
2008-06-19,0.010667641343821997,0.011310581117868423,0.06027009657751337
2008-06-20,0.010999300506508724,0.011337109841406345,0.030711892515140053
2008-06-23,0.010434770679186054,0.011281786486506462,0.08117244100149962
2008-06-24,0.009879950832441026,0.011283385567367077,0.14204875699561614
2008-06-25,0.009890842897610727,0.011270648799836636,0.13950336857126905
2008-06-26,0.009777362776772906,0.011048326268792152,0.12999041981325948
2008-06-27,0.009028427753088777,0.010869999416172504,0.20397479089907922
2008-06-30,0.008440847276220924,0.01077498123049736,0.27652839553820924
2008-07-01,0.008717117332308238,0.010863171890377998,0.2461885593894488
2008-07-02,0.008761867677579105,0.01104896143078804,0.26102810923080005
2008-07-03,0.008846133422070284,0.01133798435330391,0.2816881469384904
2008-07-07,0.009148915946865243,0.011493613943457603,0.2562815103133329
2008-07-08,0.009335938616251978,0.011450881138443947,0.22653774934962423
2008-07-09,0.009510887135876953,0.01130320318043232,0.18844888168154106
2008-07-10,0.00929735199778257,0.0111040398478508,0.1943228405785998
2008-07-11,0.008843684818272446,0.010946020483970642,0.23772168602780144
2008-07-14,0.009010274311139276,0.010992985218763351,0.22005000504511582
2008-07-15,0.009046412325810842,0.01107301376760006,0.22402266984968214
2008-07-16,0.009130931374143177,0.011135024949908257,0.21948402563184732
2008-07-17,0.009073009229132208,0.01104733720421791,0.2176045372847635
2008-07-18,0.008943908704756443,0.011039270088076591,0.23427803799090866
2008-07-21,0.008806280284395097,0.011127162724733353,0.2635485545981207
2008-07-22,0.00888362239056135,0.010997407138347626,0.23794176011264562
2008-07-23,0.00903678677984692,0.01069212332367897,0.18317755903277955
2008-07-24,0.008820887472568418,0.010443586856126785,0.18396101170145396
2008-07-25,0.009196030461320231,0.010227113962173462,0.11212267131890327
2008-07-28,0.009379338007703348,0.009836260229349136,0.04871582848070022
2008-07-29,0.01015250576552472,0.009342459961771965,0.07978777086770637
2008-07-30,0.010533643611850555,0.00905492715537548,0.14038033855744744
2008-07-31,0.010521653896702513,0.008884765207767487,0.15557332573427715
2008-08-01,0.010092219451329628,0.008841350674629211,0.12394387406385789
2008-08-04,0.010077612263156307,0.008959894999861717,0.11091092156630772
2008-08-05,0.010171756857452564,0.00914798490703106,0.10064848823744894
2008-08-06,0.010141698134968735,0.009379115886986256,0.07519275744888165
2008-08-07,0.010250196613597159,0.009503046050667763,0.07289133965862478
2008-08-08,0.010617993790955453,0.009425240568816662,0.11233320019030282
2008-08-11,0.01091723006197423,0.009367503225803375,0.14195238420125478
2008-08-12,0.010894348281656484,0.009307501837611198,0.14565776703845254
2008-08-13,0.01056986606113584,0.009285064414143562,0.12155325711423563
2008-08-14,0.010840141259649133,0.0092523954808712,0.1464691041147303
2008-08-15,0.011007743967880587,0.009195758029818535,0.16461010933295978
2008-08-18,0.010632600979128774,0.009120192378759384,0.14224258046908433
2008-08-19,0.01030685223940235,0.009095311164855957,0.11754714692762933
2008-08-20,0.010329902888947534,0.009131219238042831,0.11604016647506264
2008-08-21,0.010210427910535691,0.009085742756724358,0.11015063851053888
2008-08-22,0.0103624102152292,0.009169168770313263,0.11515095620923016
2008-08-25,0.010281521855286767,0.00931099895387888,0.09439486829557665
2008-08-26,0.010217689287315493,0.009689854457974434,0.05165892350987096
2008-08-27,0.01034797189628332,0.010129343718290329,0.021127635461738646
2008-08-28,0.010571048145727902,0.010466866195201874,0.009855404032771433
2008-08-29,0.010654300674854457,0.010559968650341034,0.008853891718680255
2008-09-02,0.010723030450421412,0.010576337575912476,0.013680169536697633
2008-09-03,0.010701330754695728,0.010572846978902817,0.012006336290141554
2008-09-04,0.010350251630853721,0.010520786046981812,0.016476354605692235
2008-09-05,0.009868974332657605,0.010488858446478844,0.06281140196808176
2008-09-08,0.010262186328745202,0.010587195865809917,0.03167059402871466
2008-09-09,0.009928162996874356,0.010786782950162888,0.08648326518801586
2008-09-10,0.009615754926115473,0.010966986417770386,0.14052266327889626
2008-09-11,0.009403486307226872,0.011003673076629639,0.1701695219328361
2008-09-12,0.009668779863530765,0.011093463748693466,0.14734888013495914
2008-09-15,0.009626562556671457,0.0111931711435318,0.16273810902258581
2008-09-16,0.009261129548497284,0.011131733655929565,0.20198444451474137
2008-09-17,0.009569906930866266,0.010952921584248543,0.1445170432035839
2008-09-18,0.010095850139719528,0.01080116257071495,0.06986161851002051
2008-09-19,0.011235717424920851,0.010645773261785507,0.052506140980979665
2008-09-22,0.010946191134479717,0.010589273646473885,0.03260654629732962
2008-09-23,0.011041602247981753,0.010538469068706036,0.04556704434518844
2008-09-24,0.010929304211735992,0.010489544831216335,0.040236722484807336
2008-09-25,0.011293639569931822,0.010507967323064804,0.0695676749733355
2008-09-26,0.011330959669195452,0.010619601234793663,0.06278006940009688
2008-09-29,0.011131947284660673,0.010746577754616737,0.034618339468329845
2008-09-30,0.010799021602768168,0.010862961411476135,0.005920889045316624
2008-10-01,0.01025019661359716,0.010938823223114014,0.0671817951865793
2008-10-02,0.009862979475083584,0.010872041806578636,0.10230806360737157
2008-10-03,0.009919803970116214,0.010639538057148457,0.07255527318891264
2008-10-06,0.008304654244292796,0.010564601048827171,0.272130149920146
2008-10-07,0.0075036230639442805,0.010393213480710983,0.3850926935084862
2008-10-08,0.006548414278945572,0.010157544165849686,0.5511456259736299
2008-10-09,0.006857191661314553,0.009914928115904331,0.4459167259156932
2008-10-10,0.006927103521473568,0.009833762422204018,0.4196066785663008
2008-10-13,0.007974177166198132,0.00978979654610157,0.22768736410819865
2008-10-14,0.007799228646573158,0.009662387892603874,0.23889019420521224
2008-10-15,0.006929552125271408,0.009674148634076118,0.3960712697138725
2008-10-16,0.006758318728650053,0.009869344532489777,0.4603254046973808
2008-10-17,0.006896960364376021,0.010424340143799782,0.5114397637607546
2008-10-20,0.007158707666903733,0.010801360011100769,0.5088421700801965
2008-10-21,0.006384273389876583,0.011110354214906693,0.7402691796570247
2008-10-22,0.005685914699809905,0.011279294267296791,0.983725550380467
2008-10-23,0.005625628385614812,0.011485453695058823,1.0416303580286352
2008-10-24,0.005116572099505274,0.011619091033935547,1.2708740946031052
2008-10-27,0.00469321694632013,0.011607568711042404,1.4732648935276043
2008-10-28,0.00505510370071812,0.01144440844655037,1.263931488670469
2008-10-29,0.0059693616980633,0.011117203161120415,0.8623772060465494
2008-10-30,0.006667804822743696,0.010731227695941925,0.6094093905295498
2008-10-31,0.007216629811914703,0.010454642586410046,0.4486876643096426
2008-11-03,0.007254034345792051,0.00971179734915495,0.3388132570379416
2008-11-04,0.007168333212867656,0.008861998096108437,0.2362703899144274
2008-11-05,0.0070405836423113885,0.007902977056801319,0.1224889097698172
2008-11-06,0.006345771206020892,0.007303672842681408,0.1509511776522379
2008-11-07,0.0061828968361576815,0.006946669891476631,0.12352996913233169
2008-11-10,0.0062672470152625795,0.007115805987268686,0.13539580775093393
2008-11-11,0.006190158212937482,0.007309196051210165,0.1807769365141402
2008-11-12,0.0059536568599116374,0.0072519825771451,0.2180719762295356
2008-11-13,0.006548414278945572,0.007176406681537628,0.09589991955933116
2008-11-14,0.006801633685487704,0.007150100078433752,0.051232749227520503
2008-11-17,0.006130969548720732,0.0071719978004693985,0.16979830734371923
2008-11-18,0.006011663439536327,0.006907870061695576,0.1490779766986377
2008-11-19,0.005911439553052329,0.0064454274252057076,0.09033127504072302
2008-11-20,0.005121469307100953,0.006069432944059372,0.1850960300873151
2008-11-21,0.005022511939822735,0.005642849951982498,0.12351150571513778
2008-11-24,0.0059452978331534945,0.005208986345678568,0.12384770420902086
2008-11-25,0.006125059125760429,0.005005593411624432,0.18276814821718404
2008-11-26,0.006390352682064322,0.0051890769973397255,0.18798268960900913
2008-11-28,0.006611149196938504,0.005645113997161388,0.1461221296025913
2008-12-01,0.006415683066179907,0.006260572001338005,0.024176858994105512
2008-12-02,0.0067088400450109435,0.006788587663322687,0.01188694584707654
2008-12-03,0.006907767994932004,0.007141462992876768,0.03383075374219543
2008-12-04,0.006950069736405031,0.007312130182981491,0.052094505567326574
2008-12-05,0.0073191334329691035,0.00713591743260622,0.025032471677259648
2008-12-08,0.007861963564566088,0.006845436990261078,0.12929678011820112
2008-12-09,0.008650920595152843,0.006587332114577293,0.2385397551483468
2008-12-10,0.00938651494986943,0.006361975334584713,0.32222178640718935
2008-12-11,0.009262311633089344,0.00614392664283514,0.33667459202234806
2008-12-12,0.009311874751342174,0.00621266383677721,0.33282351806957633
2008-12-15,0.0092503219179413,0.006404918152838945,0.3076005127544374
2008-12-16,0.0096471646024188,0.006368957459926605,0.339810429032201
2008-12-17,0.009491467174721671,0.006297366227954626,0.33652341497569466
2008-12-18,0.00939141215746511,0.0061891283839941025,0.3409800059648702
2008-12-19,0.009305795459154432,0.0058190710842609406,0.3746831090579667
2008-12-22,0.009151448985276802,0.005475644953548908,0.40166360951600855
2008-12-23,0.00898376184243163,0.005515312775969505,0.38607981013923687
2008-12-24,0.008864286864019789,0.00564737431704998,0.3629070895739264
